native Python TF CUDA GTX1060, TFJS webGPU GTX1060, TFJS webGPU AMDGPU 6700XT
37.883089542388916 , 12.29410 ,0.97460
36.3977370262146 , 8.74520 ,0.08030
37.62622427940369 , 8.51540 ,0.07380
37.19290351867676 , 8.80450 ,0.016330
36.764347553253174 , 8.70300 ,0.06000
36.85284638404846 , 8.64370 ,0.05550
37.16631269454956 , 8.62090 ,0.05320
37.48048114776611 , 8.46410 ,0.05300
38.10321927070618 , 8.73710 ,0.05070
36.88729000091553 , 8.54210 ,0.05400
37.367748975753784 , 8.54260 ,0.05210
37.13339853286743 , 8.52900 ,0.05070
37.31270217895508 , 9.00620 ,0.04950
37.250887393951416 , 8.51960 ,0.06440
36.765615940093994 , 8.85380 ,0.05190
36.964632511138916 , 8.71540 ,0.04810
37.15215754508972 , 8.52170 ,0.04610
37.47764468193054 , 8.44840 ,0.04600
37.15660762786865 , 8.64620 ,0.04480
37.257590770721436 , 8.64170 ,0.04480
37.580087184906006 , 8.61320 ,0.04490
37.374629497528076 , 8.57470 ,0.04540
36.956764698028564 , 8.77140 ,0.04750
37.0282998085022 , 8.50340 ,0.04710
27.695348739624023 , 8.71650 ,0.04830
36.957833766937256 , 8.64770 ,0.04820
36.959152698516846 , 8.78720 ,0.04890
37.15982460975647 , 9.43520 ,0.06810
36.911789417266846 , 8.72470 ,0.05120
37.03117561340332 , 8.49610 ,0.04580
36.94395351409912 , 8.56280 ,0.04520
36.824113607406616 , 8.33690 ,0.04520
37.07309532165527 , 8.64870 ,0.04520
37.50687551498413 , 8.54630 ,0.07280
36.9858124256134 , 10.47500 ,0.05880
36.91090106964111 , 8.70490 ,0.05020
37.15730309486389 , 8.51720 ,0.05930
37.06594443321228 , 8.50870 ,0.06670
37.079824686050415 , 8.35950 ,0.05440
36.8889684677124 , 8.45630 ,0.08210
36.91663408279419 , 8.66820 ,0.05130
37.234392166137695 , 8.87130 ,0.05800
37.01802968978882 , 8.71820 ,0.05800
37.107274293899536 , 8.69970 ,0.05110
37.33972191810608 , 8.59480 ,0.06680
37.203073024749756 , 8.51510 ,0.05210
36.75567984580994 , 8.70060 ,0.05840
35.87193751335144 , 8.46060 ,0.07950
37.00274395942688 , 8.45250 ,0.05150
36.93892002105713 , 8.48920 ,0.08060
36.6435661315918 , 8.31210 ,0.05100
19.57907199859619 , 8.71650 ,0.05890
37.708776235580444 , 8.68510 ,0.05760
37.075695753097534 , 8.64540 ,0.05130
37.534756660461426 , 8.50730 ,0.07830
36.72569823265076 , 8.49200 ,0.05240
37.18500471115112 , 8.81340 ,0.06660
36.980700969696045 , 8.65720 ,0.06560
36.969144105911255 , 9.44420 ,0.05400
37.78550148010254 , 8.22040 ,0.08250
37.22346329689026 , 9.32370 ,0.05270
37.24257159233093 , 7.72290 ,0.06170
37.062041997909546 , 8.60200 ,0.06270
36.841970443725586 , 9.56380 ,0.05250
37.0177047252655 , 8.70290 ,0.08160
37.00654673576355 , 8.80660 ,0.05110
36.956345558166504 , 8.73930 ,0.06200
36.6588408946991 , 8.58110 ,0.06030
37.08803749084473 , 8.66210 ,0.05130
37.43992853164673 , 8.44280 ,0.07530
37.082263708114624 , 8.70230 ,0.05040
36.44731903076172 , 8.59600 ,0.05830
36.64220333099365 , 8.46150 ,0.07040
37.31722831726074 , 8.81340 ,0.05450
37.307610511779785 , 8.86120 ,0.08390
12.439924716949463 , 8.51750 ,0.05160
36.93074679374695 , 8.72550 ,0.06480
36.41902494430542 , 8.58500 ,0.05900
36.51784825325012 , 8.48060 ,0.05180
36.549118995666504 , 8.62480 ,0.08200
37.2292058467865 , 8.51940 ,0.05180
36.86825442314148 , 8.58330 ,0.06540
36.87453889846802 , 8.63020 ,0.06220
37.096962451934814 , 8.44170 ,0.05290
36.7465934753418 , 9.64270 ,0.07020
36.973307847976685 , 9.32420 ,0.05170
36.29802203178406 , 8.76760 ,0.05930
36.94476652145386 , 8.65810 ,0.08490
36.99402642250061 , 8.70710 ,0.04960
37.43956422805786 , 8.55690 ,0.06520
36.5081889629364 , 8.50120 ,0.06940
37.64586901664734 , 8.56950 ,0.05330
37.577178716659546 , 8.90950 ,0.07000
36.94838619232178 , 8.63270 ,0.05390
36.321502923965454 , 8.39670 ,0.06200
37.10591435432434 , 8.66560 ,0.08080
37.64967942237854 , 8.94780 ,0.05030
37.38317275047302 , 8.69160 ,0.06320
36.803340673446655 , 8.74670 ,0.05450
37.014429569244385 , 8.57300 ,0.05150
